scenario,ticker,strategy,position,entry_date,exit_date,pnl,cum_pnl,series_id,initial_balance,equity,return_pct,prev_equity,trade_return_pct
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-01-29,2024-01-30,454.45057397654637,454.45057397654637,SPY|short|straddle,100000.0,100454.45057397654,0.004544505739765503,100000.0,0.004544505739765464
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-01-30,2024-01-31,416.9894225440603,871.4399965206067,SPY|short|straddle,100000.0,100871.43999652061,0.008714399965206177,100454.45057397654,0.004151029846477349
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-01-31,2024-02-01,142.5741634183778,1014.0141599389844,SPY|short|straddle,100000.0,101014.01415993899,0.010140141599389807,100871.43999652061,0.0014134244878758115
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-01,2024-02-02,256.68204895559484,1270.6962088945793,SPY|short|straddle,100000.0,101270.69620889457,0.012706962088945728,101014.01415993899,0.0025410538437684624
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-02,2024-02-05,1405.1381055312913,2675.8343144258706,SPY|short|straddle,100000.0,102675.83431442587,0.026758343144258623,101270.69620889457,0.013875071053455229
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-05,2024-02-06,212.4157664665845,2888.250080892455,SPY|short|straddle,100000.0,102888.25008089245,0.028882500808924627,102675.83431442587,0.0020688000042551422
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-06,2024-02-07,82.362102647553,2970.612183540008,SPY|short|straddle,100000.0,102970.61218354001,0.029706121835400223,102888.25008089245,0.0008005005681678768
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-07,2024-02-08,185.8125393891205,3156.4247229291286,SPY|short|straddle,100000.0,103156.42472292914,0.03156424722929141,102970.61218354001,0.0018045200999477293
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-08,2024-02-09,159.72486089201539,3316.149583821144,SPY|short|straddle,100000.0,103316.14958382114,0.033161495838211374,103156.42472292914,0.0015483753078979333
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-09,2024-02-12,944.5563382349169,4260.70592205606,SPY|short|straddle,100000.0,104260.70592205606,0.04260705922056052,103316.14958382114,0.009142388116860583
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-12,2024-02-13,-977.3271095570117,3283.378812499049,SPY|short|straddle,100000.0,103283.37881249905,0.03283378812499049,104260.70592205606,-0.009373877731919911
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-13,2024-02-14,-15.889567004870514,3267.4892454941787,SPY|short|straddle,100000.0,103267.48924549417,0.03267489245494182,103283.37881249905,-0.00015384437639009158
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-14,2024-02-15,173.00677509597608,3440.496020590155,SPY|short|straddle,100000.0,103440.49602059016,0.03440496020590156,103267.48924549417,0.001675326633386943
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-15,2024-02-16,162.58386095645074,3603.0798815466055,SPY|short|straddle,100000.0,103603.07988154661,0.036030798815466225,103440.49602059016,0.0015717621938325576
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-16,2024-02-20,1155.3751926093246,4758.455074155931,SPY|short|straddle,100000.0,104758.45507415594,0.04758455074155932,103603.07988154661,0.011151938667559974
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-20,2024-02-21,86.54101674578897,4844.996090901719,SPY|short|straddle,100000.0,104844.99609090172,0.04844996090901721,104758.45507415594,0.0008261005441950123
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-21,2024-02-22,-1115.5454948575389,3729.45059604418,SPY|short|straddle,100000.0,103729.45059604417,0.037294505960441704,104844.99609090172,-0.010639949796844373
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-22,2024-02-23,145.79548564875313,3875.2460816929333,SPY|short|straddle,100000.0,103875.24608169294,0.0387524608169294,103729.45059604417,0.0014055360826746072
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-23,2024-02-26,982.8836010868008,4858.129682779734,SPY|short|straddle,100000.0,104858.12968277973,0.04858129682779744,103875.24608169294,0.00946215424908654
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-02-26,2024-02-27,157.01101848463713,5015.140701264371,SPY|short|straddle,100000.0,105015.14070126438,0.05015140701264387,104858.12968277973,0.0014973661933474498
